hotel,country,total_bookings,avg_adr
City Hotel,GUY,1,120.0
City Hotel,HND,1,79.0
City Hotel,JAM,1,137.4
City Hotel,KIR,1,108.0
City Hotel,LCA,1,80.75
City Hotel,MLI,1,89.0
City Hotel,MMR,1,145.0
City Hotel,MRT,1,97.65
City Hotel,NAM,1,121.61
City Hotel,NCL,1,175.5
City Hotel,NIC,1,139.0
City Hotel,PYF,1,144.0
City Hotel,SDN,1,99.0
City Hotel,SLE,1,121.43
City Hotel,SUR,1,99.0
City Hotel,SYC,1,89.25
City Hotel,TGO,1,59.5
City Hotel,UGA,1,126.0
City Hotel,UMI,1,200.0
City Hotel,VGB,1,100.5
City Hotel,ZMB,1,107.1
Resort Hotel,PRT,17306,93.89428810817058
Resort Hotel,GBR,6794,81.09739476008242
Resort Hotel,ESP,3942,120.4480162354135
Resort Hotel,IRL,2165,88.41903926096998
Resort Hotel,FRA,1603,97.35515907673113
Resort Hotel,DEU,1203,82.85667497921862
Resort Hotel,CN,709,104.6208885754584
Resort Hotel,NLD,513,84.60717348927876
Resort Hotel,USA,477,134.4264570230608
Resort Hotel,Unknown,457,62.215689277899344
Resort Hotel,ITA,456,106.97587719298245
Resort Hotel,BEL,444,94.71873873873875
Resort Hotel,CHE,433,132.67034642032334
Resort Hotel,BRA,429,110.04456876456877
Resort Hotel,POL,331,90.75534743202417
Resort Hotel,SWE,304,101.56069078947368
Resort Hotel,AUT,210,85.18519047619047
Resort Hotel,RUS,188,131.33797872340426
Resort Hotel,ROU,177,128.7735593220339
Resort Hotel,FIN,151,82.00331125827815
Resort Hotel,CHN,134,87.05589552238806
Resort Hotel,NOR,123,111.37211382113821
Resort Hotel,AUS,87,121.30183908045977
Resort Hotel,LUX,80,154.1865
Resort Hotel,MAR,75,177.40066666666667
Resort Hotel,DNK,65,101.70276923076923
Resort Hotel,ARG,57,121.83052631578947
Resort Hotel,HUN,47,124.70148936170213
Resort Hotel,LTU,46,99.2304347826087
Resort Hotel,IND,37,114.52324324324323
Resort Hotel,EST,33,95.40757575757576
Resort Hotel,LVA,33,85.15333333333334
Resort Hotel,ISR,28,125.99392857142857
Resort Hotel,CZE,27,101.75333333333334
Resort Hotel,AGO,23,153.34869565217392
Resort Hotel,TUR,23,137.99391304347827
Resort Hotel,UKR,23,53.40869565217392
Resort Hotel,ZAF,18,117.50777777777778
Resort Hotel,CHL,17,128.06117647058824
Resort Hotel,COL,16,106.30875
Resort Hotel,PHL,16,183.333125
Resort Hotel,NZL,14,90.58357142857143
Resort Hotel,GIB,13,151.01307692307694
Resort Hotel,DZA,12,131.79916666666665
Resort Hotel,SVK,12,107.19749999999999
Resort Hotel,TWN,12,156.5
Resort Hotel,ARE,11,176.0118181818182
Resort Hotel,GEO,11,234.76090909090908
Resort Hotel,HRV,11,103.94545454545455
Resort Hotel,OMN,11,81.6209090909091
Resort Hotel,SVN,11,132.62545454545455
Resort Hotel,GRC,10,67.46000000000001
Resort Hotel,MYS,10,59.23
Resort Hotel,NGA,10,120.275
Resort Hotel,JPN,9,99.44333333333333
Resort Hotel,KOR,9,68.53777777777778
Resort Hotel,PRI,9,66.05111111111111
Resort Hotel,CYP,8,119.875
Resort Hotel,URY,8,142.5025
Resort Hotel,BLR,7,103.01285714285714
Resort Hotel,SRB,7,86.32714285714285
Resort Hotel,ISL,6,147.45833333333334
Resort Hotel,LBN,6,166.83333333333334
Resort Hotel,MDV,6,130.63333333333333
Resort Hotel,MEX,6,85.61666666666666
Resort Hotel,MOZ,6,157.58333333333334
Resort Hotel,THA,6,105.83333333333333
Resort Hotel,AND,5,245.714
Resort Hotel,BGR,5,84.7
Resort Hotel,CPV,5,64.0
Resort Hotel,IDN,5,158.39000000000001
Resort Hotel,IRN,5,109.30999999999999
Resort Hotel,JAM,5,99.462
Resort Hotel,KAZ,5,163.41
Resort Hotel,CUB,4,69.5
Resort Hotel,HKG,4,172.6
Resort Hotel,PAK,4,199.9525
Resort Hotel,SGP,4,120.42750000000001
Resort Hotel,SUR,4,91.5
Resort Hotel,ALB,3,85.05
Resort Hotel,AZE,3,167.46666666666667
Resort Hotel,CAF,3,56.300000000000004
Resort Hotel,DOM,3,97.76666666666667
Resort Hotel,JEY,3,97.26666666666667
Resort Hotel,KWT,3,132.72666666666666
Resort Hotel,VEN,3,91.8
Resort Hotel,ARM,2,52.349999999999994
Resort Hotel,CIV,2,58.5
Resort Hotel,CMR,2,45.43
Resort Hotel,CRI,2,36.26
Resort Hotel,ECU,2,53.165
Resort Hotel,JOR,2,74.85
Resort Hotel,MLT,2,43.9
Resort Hotel,MWI,2,83.0
Resort Hotel,VNM,2,171.375
Resort Hotel,ZWE,2,45.965
Resort Hotel,BDI,1,46.0
Resort Hotel,BHR,1,190.0
Resort Hotel,BHS,1,50.85
Resort Hotel,BIH,1,50.0
Resort Hotel,BWA,1,118.5
Resort Hotel,COM,1,71.61
Resort Hotel,CYM,1,40.5
Resort Hotel,DJI,1,273.0
Resort Hotel,EGY,1,122.89
Resort Hotel,FJI,1,135.33
Resort Hotel,GGY,1,65.0
Resort Hotel,LKA,1,33.3
Resort Hotel,MAC,1,120.0
Resort Hotel,MDG,1,44.0
Resort Hotel,MKD,1,108.75
Resort Hotel,MUS,1,98.0
Resort Hotel,NPL,1,85.0
Resort Hotel,PER,1,234.0
Resort Hotel,PLW,1,136.29
Resort Hotel,SAU,1,171.0
Resort Hotel,SEN,1,289.6
Resort Hotel,SMR,1,88.2
Resort Hotel,SYC,1,175.0
Resort Hotel,SYR,1,54.0
Resort Hotel,TGO,1,152.0
Resort Hotel,TUN,1,77.5
Resort Hotel,UGA,1,43.0
Resort Hotel,UZB,1,60.0
Resort Hotel,ZMB,1,96.67
