hotel,arrival_date,arrival_date_year,arrival_month_num,arrival_date_month,lead_time,total_nights,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,total_guests,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,booking_revenue,required_car_parking_spaces,total_of_special_requests,is_canceled,is_canceled_flag,reservation_status,reservation_status_date
Resort Hotel,2015-07-01,2015,7,July,72,6,2,4,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,Transient,84.67,508.02,0,1,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-01,2015,7,July,72,6,2,4,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,Transient,99.67,598.02,0,1,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-01,2015,7,July,127,7,2,5,2,0.0,0,2.0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,Contract,94.95,664.65,0,1,0,No,Check-Out,2015-07-01
Resort Hotel,2015-07-01,2015,7,July,78,7,2,5,2,0.0,0,2.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Transient,63.6,445.2,1,0,0,No,Check-Out,2015-07-08
Resort Hotel,2015-07-01,2015,7,July,48,7,2,5,2,0.0,0,2.0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Contract,79.5,556.5,0,0,0,No,Check-Out,2015-07-08
Resort Hotel,2015-07-01,2015,7,July,60,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,107.0,749.0,0,2,1,Yes,Canceled,2015-05-11
Resort Hotel,2015-07-01,2015,7,July,77,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,94.0,658.0,0,0,0,No,Check-Out,2015-07-08
Resort Hotel,2015-07-01,2015,7,July,99,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,87.3,611.1,1,1,0,No,Check-Out,2015-07-08
Resort Hotel,2015-07-01,2015,7,July,118,14,4,10,1,0.0,0,1.0,BB,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,Transient,62.0,868.0,0,2,0,No,Check-Out,2015-07-15
Resort Hotel,2015-07-01,2015,7,July,95,15,4,11,2,0.0,0,2.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Transient,63.86,957.9,0,0,0,No,Check-Out,2015-07-16
Resort Hotel,2015-07-01,2015,7,July,96,10,2,8,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,Transient,108.3,1083.0,0,2,1,Yes,Canceled,2015-05-29
Resort Hotel,2015-07-02,2015,7,July,69,6,2,4,2,0.0,0,2.0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,Transient,65.5,393.0,0,0,0,No,Check-Out,2015-07-08
Resort Hotel,2015-07-02,2015,7,July,45,4,1,3,3,0.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,108.8,435.2,0,1,1,Yes,Canceled,2015-05-19
Resort Hotel,2015-07-02,2015,7,July,40,4,1,3,3,0.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,108.8,435.2,0,1,1,Yes,Canceled,2015-06-19
Resort Hotel,2015-07-02,2015,7,July,15,4,1,3,2,0.0,0,2.0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,98.0,392.0,0,0,0,No,Check-Out,2015-07-06
Resort Hotel,2015-07-02,2015,7,July,36,4,1,3,3,0.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,108.8,435.2,0,1,0,No,Check-Out,2015-07-06
Resort Hotel,2015-07-02,2015,7,July,43,4,1,3,3,0.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,108.8,435.2,0,0,1,Yes,Canceled,2015-05-23
Resort Hotel,2015-07-02,2015,7,July,70,5,2,3,2,0.0,0,2.0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,Transient,137.0,685.0,0,1,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-02,2015,7,July,45,5,2,3,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,Transient,117.81,589.05,0,0,1,Yes,Canceled,2015-05-18
Resort Hotel,2015-07-02,2015,7,July,45,5,2,3,2,0.0,0,2.0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Contract,79.5,397.5,0,0,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-02,2015,7,July,16,5,2,3,2,0.0,0,2.0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,Transient,123.0,615.0,0,0,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-02,2015,7,July,70,5,2,3,2,0.0,0,2.0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,Transient,137.0,685.0,0,1,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-02,2015,7,July,107,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,110.7,774.9,0,2,0,No,Check-Out,2015-07-09
Resort Hotel,2015-07-02,2015,7,July,47,7,2,5,2,2.0,0,4.0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,Transient,153.0,1071.0,0,0,1,Yes,Canceled,2015-06-02
Resort Hotel,2015-07-02,2015,7,July,96,7,2,5,2,0.0,0,2.0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Transient,58.95,412.65000000000003,0,1,0,No,Check-Out,2015-07-09
Resort Hotel,2015-07-02,2015,7,July,113,7,2,5,2,0.0,0,2.0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,Transient-Party,82.88,580.16,0,2,0,No,Check-Out,2015-07-09
Resort Hotel,2015-07-02,2015,7,July,90,7,2,5,2,0.0,0,2.0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,Contract,82.35,576.4499999999999,0,0,0,No,Check-Out,2015-07-09
Resort Hotel,2015-07-02,2015,7,July,50,7,2,5,2,0.0,0,2.0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,Transient,119.35,835.4499999999999,0,1,0,No,Check-Out,2015-07-09
Resort Hotel,2015-07-02,2015,7,July,113,7,2,5,2,0.0,0,2.0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Transient-Party,67.58,473.06,0,2,0,No,Check-Out,2015-07-09
Resort Hotel,2015-07-02,2015,7,July,93,11,3,8,2,0.0,0,2.0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Contract,56.01,616.11,0,0,0,No,Check-Out,2015-07-13
Resort Hotel,2015-07-02,2015,7,July,76,14,4,10,2,0.0,0,2.0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Contract,110.7,1549.8,0,0,0,No,Check-Out,2015-07-16
Resort Hotel,2015-07-02,2015,7,July,3,1,0,1,2,0.0,0,2.0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,88.2,88.2,1,0,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-02,2015,7,July,1,1,0,1,2,0.0,0,2.0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,Transient,147.0,147.0,1,0,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-02,2015,7,July,1,1,0,1,2,2.0,0,4.0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,Transient,107.0,107.0,1,2,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-02,2015,7,July,0,1,0,1,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,Transient,147.0,147.0,0,0,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-02,2015,7,July,0,1,0,1,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,Transient,117.9,117.9,0,2,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-02,2015,7,July,0,1,0,1,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,Transient,123.0,123.0,0,0,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-02,2015,7,July,14,2,0,2,2,0.0,0,2.0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,98.0,196.0,0,1,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-02,2015,7,July,10,2,0,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,Transient,117.81,235.62,0,0,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-02,2015,7,July,5,2,0,2,2,0.0,0,2.0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,135.0,270.0,1,2,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-02,2015,7,July,17,3,0,3,2,0.0,0,2.0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,Transient,133.0,399.0,0,1,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-02,2015,7,July,93,3,0,3,2,0.0,0,2.0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,Contract,58.95,176.85000000000002,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-02,2015,7,July,3,3,0,3,2,0.0,0,2.0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,136.33,408.99,0,2,1,Yes,Canceled,2015-06-29
Resort Hotel,2015-07-03,2015,7,July,10,2,0,2,2,2.0,0,4.0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,Transient,153.0,306.0,1,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-03,2015,7,July,3,2,0,2,2,0.0,0,2.0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,110.5,221.0,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-03,2015,7,July,51,2,0,2,2,0.0,0,2.0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,97.0,194.0,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-03,2015,7,July,71,2,0,2,3,0.0,0,3.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Transient,110.3,220.6,0,2,1,Yes,Canceled,2015-06-16
Resort Hotel,2015-07-03,2015,7,July,63,2,0,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,82.0,164.0,0,2,1,Yes,Canceled,2015-06-18
Resort Hotel,2015-07-03,2015,7,July,62,2,0,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,97.0,194.0,0,1,1,Yes,Canceled,2015-07-03
Resort Hotel,2015-07-03,2015,7,July,101,2,0,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,73.8,147.6,0,1,1,Yes,Canceled,2015-06-12
Resort Hotel,2015-07-03,2015,7,July,2,2,0,2,2,0.0,0,2.0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Transient,91.5,183.0,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-03,2015,7,July,15,2,0,2,2,0.0,0,2.0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,114.5,229.0,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-03,2015,7,July,51,2,0,2,3,0.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,110.3,220.6,0,0,1,Yes,Canceled,2015-06-09
Resort Hotel,2015-07-03,2015,7,July,3,3,1,2,2,0.0,0,2.0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,90.9,272.70000000000005,1,0,0,No,Check-Out,2015-07-06
Resort Hotel,2015-07-03,2015,7,July,48,3,1,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,123.0,369.0,0,0,1,Yes,Canceled,2015-05-26
Resort Hotel,2015-07-03,2015,7,July,2,4,2,2,1,0.0,0,1.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,122.0,488.0,0,0,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-03,2015,7,July,72,4,2,2,2,0.0,0,2.0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Transient,110.7,442.8,1,0,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-03,2015,7,July,81,8,2,6,3,0.0,0,3.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Transient,85.86,686.88,0,0,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-03,2015,7,July,99,9,2,7,2,0.0,0,2.0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Contract,58.95,530.5500000000001,0,0,0,No,Check-Out,2015-07-12
Resort Hotel,2015-07-03,2015,7,July,368,10,3,7,2,0.0,0,2.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Contract,55.68,556.8,0,0,1,Yes,Canceled,2015-05-19
Resort Hotel,2015-07-03,2015,7,July,364,10,3,7,2,0.0,0,2.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Contract,55.68,556.8,0,0,0,No,Check-Out,2015-07-13
Resort Hotel,2015-07-03,2015,7,July,81,10,3,7,2,0.0,0,2.0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,Transient,124.0,1240.0,0,1,1,Yes,Canceled,2015-06-09
Resort Hotel,2015-07-03,2015,7,July,99,10,3,7,2,0.0,0,2.0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,Contract,111.15,1111.5,0,0,0,No,Check-Out,2015-07-13
Resort Hotel,2015-07-03,2015,7,July,324,14,4,10,2,0.0,0,2.0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,Contract,134.73,1886.2199999999998,0,0,0,No,Check-Out,2015-07-17
Resort Hotel,2015-07-03,2015,7,July,69,14,4,10,2,0.0,0,2.0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,Transient,92.45,1294.3,0,1,0,No,Check-Out,2015-07-17
Resort Hotel,2015-07-03,2015,7,July,79,21,6,15,2,1.0,0,3.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Transient,108.73,2283.33,0,2,1,Yes,Canceled,2015-04-15
Resort Hotel,2015-07-03,2015,7,July,12,1,0,1,2,0.0,0,2.0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,73.8,73.8,0,0,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-03,2015,7,July,9,1,0,1,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,98.0,98.0,1,2,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-03,2015,7,July,1,1,0,1,2,0.0,0,2.0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,131.0,131.0,0,1,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-03,2015,7,July,21,1,0,1,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,123.0,123.0,0,0,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-03,2015,7,July,9,1,0,1,2,0.0,0,2.0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,Transient,94.71,94.71,0,0,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-03,2015,7,July,109,1,0,1,2,0.0,0,2.0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,123.0,123.0,0,2,0,No,Check-Out,2015-07-04
Resort Hotel,2015-07-03,2015,7,July,109,2,0,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,123.0,246.0,0,1,1,Yes,Canceled,2015-05-26
Resort Hotel,2015-07-03,2015,7,July,72,2,0,2,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,73.8,147.6,0,1,1,Yes,Canceled,2015-06-29
Resort Hotel,2015-07-03,2015,7,July,63,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,Transient,117.0,819.0,0,1,1,Yes,Canceled,2015-05-13
Resort Hotel,2015-07-03,2015,7,July,63,7,2,5,3,0.0,0,3.0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,Transient,196.54,1375.78,0,1,0,No,Check-Out,2015-07-10
Resort Hotel,2015-07-03,2015,7,July,101,7,2,5,2,1.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,99.3,695.1,1,2,0,No,Check-Out,2015-07-10
Resort Hotel,2015-07-03,2015,7,July,102,7,2,5,2,0.0,0,2.0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,Transient,90.95,636.65,0,0,0,No,Check-Out,2015-07-10
Resort Hotel,2015-07-04,2015,7,July,4,3,2,1,2,0.0,0,2.0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,Transient,92.67,278.01,0,1,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-04,2015,7,July,98,3,2,1,2,0.0,0,2.0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Transient,71.55,214.64999999999998,1,0,0,No,Check-Out,2015-07-07
Resort Hotel,2015-07-04,2015,7,July,92,6,2,4,1,2.0,0,3.0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,Transient,96.49,578.9399999999999,0,2,0,No,Check-Out,2015-07-10
Resort Hotel,2015-07-04,2015,7,July,95,6,2,4,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,Transient,85.8,514.8,1,2,0,No,Check-Out,2015-07-10
Resort Hotel,2015-07-04,2015,7,July,102,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,96.3,674.1,0,1,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-04,2015,7,July,26,7,2,5,2,2.0,0,4.0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,Transient,163.0,1141.0,0,0,1,Yes,Canceled,2015-06-09
Resort Hotel,2015-07-04,2015,7,July,73,7,2,5,3,0.0,0,3.0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,Transient,172.0,1204.0,0,1,1,Yes,Canceled,2015-05-20
Resort Hotel,2015-07-04,2015,7,July,102,7,2,5,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,110.7,774.9,0,1,1,Yes,Canceled,2015-04-22
Resort Hotel,2015-07-04,2015,7,July,115,7,2,5,2,0.0,0,2.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,Transient,58.95,412.65000000000003,0,1,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-04,2015,7,July,102,7,2,5,2,0.0,1,3.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,73.8,516.6,0,2,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-04,2015,7,July,86,7,2,5,2,0.0,0,2.0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,97.0,679.0,0,2,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-04,2015,7,July,78,7,2,5,2,0.0,1,3.0,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,Transient,139.0,973.0,0,2,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-04,2015,7,July,52,7,2,5,2,0.0,0,2.0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,67.24,470.67999999999995,0,0,0,No,Check-Out,2015-07-11
Resort Hotel,2015-07-04,2015,7,July,29,8,2,6,3,0.0,0,3.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,116.5,932.0,0,1,0,No,Check-Out,2015-07-12
Resort Hotel,2015-07-04,2015,7,July,101,8,2,6,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,96.3,770.4,0,1,1,Yes,Canceled,2015-05-12
Resort Hotel,2015-07-04,2015,7,July,109,8,2,6,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,123.0,984.0,0,1,0,No,Check-Out,2015-07-12
Resort Hotel,2015-07-04,2015,7,July,92,10,4,6,2,0.0,0,2.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Contract,71.55,715.5,0,1,0,No,Check-Out,2015-07-14
Resort Hotel,2015-07-04,2015,7,July,92,10,4,6,2,0.0,0,2.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Contract,71.55,715.5,0,1,0,No,Check-Out,2015-07-14
Resort Hotel,2015-07-04,2015,7,July,79,10,4,6,2,1.0,0,3.0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,Transient,149.0,1490.0,0,1,0,No,Check-Out,2015-07-14
Resort Hotel,2015-07-04,2015,7,July,2,1,0,1,2,2.0,0,4.0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,Transient,163.0,163.0,1,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-04,2015,7,July,30,1,0,1,2,0.0,0,2.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,Contract,79.5,79.5,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-04,2015,7,July,51,1,0,1,1,0.0,0,1.0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,105.0,105.0,0,0,1,Yes,Canceled,2015-05-29
